cal_date,cal_val,date_key,dist_val,steps_val,very_val,mod_val,light_val,active_mins,wfh_flg
01/30/17,2096.77,170130,311715,4550,2,10,0,12,0
01/31/17,2350.41,170131,683792,9918,74,2,0,76,1
02/01/17,2169.2,170201,495119,6984,14,4,0,18,0
02/02/17,2080.68,170202,338635,4943,0,0,0,0,0
02/03/17,2082.14,170203,365005,5328,0,0,0,0,0
02/04/17,2329.77,170204,139831,2041,90,6,0,96,1
02/05/17,1984.13,170205,987677,10945,0,0,0,0,1
02/06/17,2182.82,170206,286707,4185,0,0,0,0,0
02/07/17,1871.1,170207,280688,4037,0,0,0,0,1
02/08/17,2096.69,170208,319535,4664,0,0,0,0,0
02/09/17,2182.82,170209,358717,5173,0,0,0,0,0
02/10/17,2075.84,170210,387551,5657,0,0,0,0,0
02/11/17,2556.73,170211,253761,3704,86,0,0,86,1
02/12/17,2277.15,170212,1228853,14779,0,80,0,80,1
02/13/17,2151.54,170213,329873,4815,18,8,0,26,0
02/14/17,2156.24,170214,394348,5698,0,0,0,0,1
02/15/17,2173.9,170215,465113,6789,0,0,0,0,0
02/16/17,1856.49,170216,385562,5628,2,18,0,20,0
02/17/17,1585.1,170217,0,0,0,0,0,0,0
02/18/17,2593.65,170218,60673,824,86,6,0,92,1
02/19/17,2150.69,170219,1187552,13993,0,0,0,0,1
02/20/17,2238.04,170220,467714,6827,0,40,0,40,0
02/21/17,2218.45,170221,422083,6161,16,6,0,22,1
02/22/17,2106.79,170222,357544,5219,8,8,0,16,0
02/23/17,2172.53,170223,392481,5729,14,6,0,20,0
02/24/17,2045.15,170224,469268,6850,24,0,0,24,0
02/25/17,2166.97,170225,382142,5578,0,14,0,14,1
02/26/17,2206.17,170226,431798,6231,0,0,0,0,1
02/27/17,2759.94,170227,403652,5892,92,8,0,100,0
02/28/17,2292.12,170228,1461870,17988,80,16,0,96,1
03/01/17,2384.6,170301,654843,9559,90,24,0,114,0
03/02/17,2359.37,170302,659825,9571,68,36,0,104,0
03/03/17,2658.6,170303,592650,8651,68,68,0,136,0
03/04/17,2510.19,170304,987218,13246,30,8,0,38,1
03/05/17,2098.57,170305,563688,7873,0,0,0,0,1
03/06/17,2240.39,170306,513390,7275,52,12,0,64,0
03/07/17,2007.52,170307,394466,5680,0,0,0,0,1
03/08/17,2177.5,170308,576797,8280,84,16,0,100,0
03/09/17,2410.4,170309,626277,9142,94,26,0,120,0
03/10/17,1929.47,170310,182922,2670,0,0,0,0,0
03/11/17,2099.77,170311,522912,7633,4,40,0,44,1
03/12/17,2123.84,170312,298431,4356,0,16,0,16,1
03/13/17,2260.09,170313,640130,9344,62,12,0,74,0
03/14/17,2288.98,170314,653955,9546,90,22,0,112,1
03/15/17,1901.71,170315,307531,4489,20,4,0,24,0
03/16/17,2183.63,170316,497410,7261,92,16,0,108,0
03/17/17,1998.45,170317,221310,3162,0,0,0,0,0
03/18/17,2323.38,170318,375638,5483,0,90,0,90,1
03/19/17,2582.78,170319,1093205,15958,102,40,0,142,1
03/20/17,2264.48,170320,513323,7493,62,10,0,72,0
03/21/17,2223.47,170321,393032,5737,20,12,0,32,1
03/22/17,1849.21,170322,369740,5397,0,0,0,0,0
03/23/17,1990.22,170323,199977,2919,0,0,0,0,0
03/24/17,2133.95,170324,278699,4068,0,0,0,0,0
03/25/17,2185.84,170325,187930,2743,52,36,0,88,1
03/26/17,2122.55,170326,741664,9925,0,0,0,0,1
03/27/17,2382.89,170327,709924,10363,94,10,0,104,0
03/28/17,2266.35,170328,591402,8633,74,20,0,94,1
03/29/17,2485.65,170329,590179,8615,116,52,0,168,0
03/30/17,2242.06,170330,641890,9222,18,6,0,24,0
03/31/17,2102.78,170331,465079,6728,0,24,0,24,0
04/01/17,1995.16,170401,241087,3519,0,0,0,0,1
04/02/17,2096,170402,444417,6487,8,24,0,32,1
04/03/17,2321.54,170403,418778,6113,16,6,0,22,0
04/04/17,2302.13,170404,534834,7807,14,6,0,20,1
04/05/17,2413.9,170405,495604,7161,10,78,0,88,0
04/06/17,2701.15,170406,728561,10635,72,102,0,174,0
04/07/17,2884.47,170407,1257374,17950,172,132,0,304,0
04/08/17,2367.57,170408,1220042,17408,42,36,0,78,1
04/09/17,2578.07,170409,828051,11600,56,74,0,130,1
04/10/17,2422.26,170410,766157,11184,0,24,0,24,0
04/11/17,2792.54,170411,745843,10887,44,82,0,126,1
04/12/17,2727.58,170412,1170702,16252,90,78,0,168,0
04/13/17,2716.52,170413,960963,13832,66,142,0,208,0
04/14/17,2339.15,170414,1260824,18405,106,34,0,140,0
04/15/17,2471.82,170415,502436,7257,34,24,0,58,1
04/16/17,2362.01,170416,550783,7970,58,58,0,116,1
04/17/17,2407.63,170417,767445,10853,94,38,0,132,0
04/18/17,2347.64,170418,873462,12314,78,62,0,140,1
04/19/17,2355.48,170419,933790,13631,94,26,0,120,0
04/20/17,2430.57,170420,791459,11483,88,20,0,108,0
04/21/17,2263.65,170421,169700,2477,124,6,0,130,0
04/22/17,2533.37,170422,1035285,14670,40,52,0,92,1
04/23/17,2574.43,170423,819156,11731,84,28,0,112,1
